WolfResult1,Life Returns,"The cruel conditions of the forest begin to ease up as summer begins to return in earnest. The brown and decayed thistles and leaves begin to twitch and draw themselves back to life. A few nervous creatures begin to venture back into the Durell woods, and at the heart they find the Summerstone aglow with power once more. The first travellers run with joy back to their homes, hastened by the bright sun beating down on their paths, as they carry the good news of the forest's return.",,,,,,,,,,,,,,,,,
DeerResult1,Summerstone Returns,"It starts out simple, with just a shimmer of light in the dead of night. A few creatures begin to stay up late, watching as the skies themselves begin to unfold, little by little. Stars of every color and brightness pop and sparkle in the night sky, blossoming into a flurry of constellations above the Durrell Woods. Hundreds of living creatures begin to chart their return, guided on by the glittering mass of light.",,,,,,,,,,,,,,,,,
DayResult1,DayResult1,N/A,,,,,,,,,,,,,,,,,
NightResult1,NightResult1,N/A,,,,,,,,,,,,,,,,,
OxxResult1,OxxResult1,N/A,,,,,,,,,,,,,,,,,
BarkResult1,BarkResult1,N/A,,,,,,,,,,,,,,,,,
WolfResult2,Niche,"More and more creatures filter into the forest, brought around by the bright sun and warm earth. They move around each other gracefully, but warily to start. A few conflicts arise as wolves and deer live side-by-side, competing and hunting with each other at their throats, but then something fascinating happens. The land draws chasms, and within those chasms arise great ravines and caves where creatures find their niche. Their interactions with each other become amicable as each finds their own little spot in the world.",,,,,,,,,,,,,,,,,
DeerResult2,The Hart's Peace,"A few flowers sprung up in front of the Summerstone the first night. Hedera dared to hope that it was a sign, but his heart was old and scepticle of believing such things. The next night, it was a small pool of water by the side of his cave, so he wouldn't have to wander far to get drink. Every night, a new gift arrived from the Summerstone, and Hedera wept not only for the joy of knowing such a kind soul was on his side, but also for the thought that perhaps the Summerstone knew how forced his hand had been when this had all started.",,,,,,,,,,,,,,,,,
DayResult2,Cartography,"The humans were unwelcome in the forest from the start, but the Spirit of Day kept her eyes trained on them all the same. She giggled with glee each time they ventured past their paths, and she left them tokens as they passed by. The first few travellers found a good landmark, a large stone in the middle of a meadow. When they made it to their destinations, they told the next set of travellers how to navigate by the rock's location. Soon, every human was passing by the Summerstone, and Sternella supervised them with a happy heart.",,,,,,,,,,,,,,,,,
NightResult2,Preservation,"The creatures were happy to once again be in their homes, running about in the balmy summer air without fear of what the air might carry. They built homes and workplaces, stores and storages, but when night fell they put down their tools. For, upon their arrival, a great stone amphiteathere had arisen out of the ground on the far side of the woods. Once the sun had set, beasts of all shapes and sizes ventured to the theatre as the lamps were lit, and watched as the actors regaled the woods with stories of how things had been, and what could be.",,,,,,,,,,,,,,,,,
OxxResult2,OxxResult2,N/A,,,,,,,,,,,,,,,,,
BarkResult2,BarkResult2,N/A,,,,,,,,,,,,,,,,,
