Week1Win,The Little Things,"Time passed as normal, and there was little doubt that something had changed. It was the small things, like a river thawed out or a new path carved through the woods, that made life more bareable. There was humanity in the way the world was shaped, and love in how it recovered.",,,,,,,
Week1Fail,Slow Progress,"Progress came, little-by-little. The world would not recover in a night, nor did anyone expect it too. Times had been hard, and the obstacles that were to come would require every ounce of strength and luck the creatures could require. It would take time to move forward, but time was all they had.",,,,,,,
Week1Perfect,Surge of Life,"The dead forest sprang to life overnight, though no one was sure just how it all happened. There was no fanfare, no witnesses, just the change brought about. One moment, the Durell woods was on its final stand, and the next it was ageless. The world was just how it was before.",,,,,,,
Week2Win,Cyclic,"Food was a difficult matter for a while. With so many creatures returning with high hopes, it was a sore sight to see a brother or sister hunted for their flesh, or for anyone to go hungry because a berry bush had been plundered too early. Nonetheless, a balance was reached as the forest recovered. Soon there were more and more plants providing more and more food, and the predators grew more lax with their hunting as their own bodies recovered from the starvation which the old forest had set in them.",,,,,,,
Week2Fail,Anarchy,"There was little to be said for how the forest recovered when it came to managing meals. The wolves hunted relentlessly, driven by the spike of hunger in their stomachs, and none other than Rubus led the charge for his people. Unrest settled in the Durell Woods because of their undominable position, but the wolves helped maintain the berries and veggies in the woods as well, conscious of what cycle they had to maintain. It was a fearful time to be small, but you could eat well so long as you watched for the hungry eyes within the underbrush.",,,,,,,
Week2Perfect,Delegation,"Animals fought amonst each other for quite some time, until it was finally Rubus who snapped and pulled everyone in line. Arguments continued for several days, but eventually everyone agreed to a solution for the foreseeable future. It ensured that all would get enough to eat, and that food storage would be available for each faction of animals for a set amount of time, but penalized those who hunted unfairly or hid away their stashes when unnecessary. Rubus himself took one of the biggest hits for his people that day, but the old wolf took the sentence without complaint and carried out the orders to maintain the peace, almost with a bit of pride.",,,,,,,
Week3Win,A Helping Hand,"The creatures of the woods rally together to search for the missing humans. There's not a lot of good leads, but the wolves eventually pick up the scent of an unfamiliar passerby. It takes many days of tracing and retracing steps to find anything fruitful, but at the last minute there's a breakthrough. The humans are found and escorted home joyfully, and the creatures of the forest make note to put up more directional signs in the future.",,,,,,,
Week3Fail,Those Lost to the Forest,"The creatures keep their eyes peeled, but the forest is truly a mysterious place. There is no telling where a human could have gone, and it is unlikely they would have survived long out away from the charted paths. The search continues in modest, but eventually the Lord of Wolves calls it off. The humans have their ways, and the creatures of the forest have theirs. Not all paths were meant to cross.",,,,,,,
Week3Perfect,Men and the Beasts,"The plight of the humans moves the creatures of the Durrell Woods in a way... unexpected of themselves. Predator and prey alike begin to scour the woods, putting aside any sense of malice towards each other. Children explore new places with their friends, and adults light lamps and journey at night to the furthest reaches of the land. Scholars draw maps and collaborate, forming a tight-knit group of researchers who promise to stay together far after this incident is resolved. In the end, it is a pack of wolf pups who find the lost human child and her older brother. They escort them home and live with the humans, looking after them for many years and guiding them through the woods.",,,,,,,
Week4Win,A Pass,"Rubus, Hedera, and Agelaius arrive swiftly to the first colony, but find the mice within slaughtered. They press through, travelling through the Durrell woods at breakneck speed to catch the culprit before he strikes again. All the colonies they visit are destroyed, the mice within mauled by an unknown foe. The towns lay in shambles, and the lone survivor becomes Oxx, who was at Hedera's side during the massacre. The old deer turns back before visiting the final colony, ushering the young mouse away from his hometown before he has a chance to see what has become of it.",,,,,,,
Week4Fail,Too Late,"Rubus, Hedera, and Agelaius rush to the aid of the mice, but the slaughter is throughouly finished by the time they arrive. The final colonies of the mice are strewn about in ruin. The markings on the bodies of the mice match nothing seen before, and there is no culprit in sight. Even the wolves that Rubus sent ahead have no idea what was murdering the mice. The sole survivor is Oxx, who had been at Hedera's side at the time of the attack. He stands alone amongst the shambles of his town long after the others have left, and sleeps within his family's house, empty as it may be.",,,,,,,
Week4Perfect,An Army Against Nothing,"Rubus, Hedera, and Agelaius charge through the forest with the might of the wolf's army at their backs. They arrive at the first colony to find it in shambles, all the mice within mauled and murdered by an unknown assailant. The slaughter is complete, though, and every colony they visit afterwards has fallen in the same way. The lone survivor of the massacre, Oxx, was only alive because he had been at Hedera's side as the attack happened. Rubus helps the young fieldmouse pick his way through the remnants of his hometown, making his way to his family's house. The wolf stays by his side as Oxx wonders whether or not to open to door and see what has become. In the end, the young fieldmouse merely places a twig in front of his family's door, and leaves without another word.",,,,,,,
Week5Win,Stagnant Magic,"The hunt begins for the culprits who pulled off the massacre of the mice. Convinced that this was a supernatural occurence, Hedera and Rubus consult the spirits of Day and Night to fully investigate the matter. The damage is absolute, and there are few traces to go off of as to who conducted the murders. It does seem, however, that the group is on the right trail. Sternella and Agelaius are able to pick up faint traces of magic embodied in the rocks and fauna around the mice's homes. Its trail seems too wide and too stale though, as if the magic had been a part of the forest for quite some time.",,,,,,,
Week5Fail,Few Leads,"There is little to go off of for the investigation. Rubus and Hedera are quickly shoved aside by the spirits of night and day as they begin their investigation. There is turmoil among the group as they debate what sort of being could have caused the massacre. Rubus and Hedera interrogate and investigate all the wildlife and forces they can command, but there are no leads. Sternella and Agelaius, convinced that this was a supernatural occurence, try looking beyond what can be seen. The only thing they find, though is the forest's magic, same as it ever was.",,,,,,,
